ME_NUMCDE;ME_LIVREA;ME_CPROIN;ME_NQTUVC;AR_VOLSPCB;TRUNC(ME_DATEXP)
PO0017KOJB;F315;597389;21;3.5;02.19.2019
PO0017KOJB;F315;10050;20;1.5;02.19.2019
PO0017KOJB;F315;748016;24;1.4;02.19.2019
PO0017KOJB;F315;32923;50;3.0;02.19.2019
PO0017KOJB;F315;678308;4;0.7;02.19.2019
PO0017KOJB;F315;651257;12;2.4;02.19.2019
PO0017KOJB;F315;736866;12;12.6;02.19.2019
PO0017KOJB;F315;711383;6;1.3;02.19.2019
PO0017KOJB;F315;755175;22;0.8;02.19.2019
PO0017KOJB;F315;613343;11;1.2;02.19.2019
PO0017KOJB;F315;24294;32;0.7;02.19.2019
PO0017KOJB;F315;765721;10;4.0;02.19.2019
PO0017KOZG;F348;112894;1;40.5;02.19.2019
PO0017KOZG;F348;72549;1;56.0;02.19.2019
PO0017KOZG;F348;72549;1;56.0;02.19.2019
PO0017KOZG;F348;72549;2;56.0;02.19.2019
PO0017KOZG;F348;72549;2;56.0;02.19.2019
PO0017KOZG;F348;72597;1;51.0;02.19.2019
PO0017KOZG;F348;133385;2;96.0;02.19.2019
PO0017KOZG;F348;127828;1;50.4;02.19.2019
PO0017KOZG;F348;435165;1;54.4;02.19.2019
PO0017KOZG;F348;433937;1;31.2;02.19.2019
PO0017KOZG;F348;435154;1;71.3;02.19.2019
PO0017KOZG;F348;726139;1;31.2;02.19.2019
PO0017KOZG;F348;677486;12;1.8;02.19.2019
PO0017KOZG;F348;609118;12;0.7;02.19.2019
PO0017KOZG;F348;500386;20;0.5;02.19.2019
PO0017KOZG;F348;557502;14;2.0;02.19.2019
PO0017KOZG;F348;594566;24;0.3;02.19.2019
PO0017KOZG;F348;594569;24;0.3;02.19.2019
PO0017KOGJ;F276;186652;24;0.8;02.19.2019
PO0017KOGJ;F276;734574;10;0.5;02.19.2019
PO0017KOGJ;F276;734578;10;0.4;02.19.2019
PO0017KOGJ;F276;755155;22;0.4;02.19.2019
PO0017KOGJ;F276;699285;30;0.5;02.19.2019
PO0017KOGJ;F276;88409;10;1.6;02.19.2019
PO0017KOGJ;F276;483549;24;0.4;02.19.2019
PO0017KOGJ;F276;135304;10;3.8;02.19.2019
PO0017KOGJ;F276;664298;24;0.7;02.19.2019
PO0017KOGJ;F276;686018;24;0.5;02.19.2019
