ME_NUMCDE;ME_LIVREA;ME_CPROIN;ME_NQTUVC;AR_VOLSPCB;TRUNC(ME_DATEXP)
PO0017KOX5;S808;458339;10;2.1;02.19.2019
PO0017KOX5;S808;529704;20;1.2;02.19.2019
PO0017KOX5;S808;454031;12;1.2;02.19.2019
PO0017KOX5;S808;8718;3;7.9;02.19.2019
PO0017KOX5;S808;8133;15;1.8;02.19.2019
PO0017KOX5;S808;758193;30;1.7;02.19.2019
PO0017KOX5;S808;609411;15;1.7;02.19.2019
PO0017KOX5;S808;766000;12;1.9;02.19.2019
PO0017KOX5;S808;723704;20;1.0;02.19.2019
PO0017KOX5;S808;739482;12;1.6;02.19.2019
PO0017KOX5;S808;722034;12;2.1;02.19.2019
PO0017KOP4;S816;576524;12;1.5;03.25.2019
PO0017KOP4;S816;580560;6;2.4;03.25.2019
PO0017KOP4;S816;326572;6;3.0;03.25.2019
PO0017KOP4;S816;549562;12;1.5;03.25.2019
PO0017KOP4;S816;719476;10;1.5;03.25.2019
PO0017KOP4;S816;719479;10;1.5;03.25.2019
PO0017KOP4;S816;766317;12;0.6;03.25.2019
PO0017KOP4;S816;498763;12;1.0;03.25.2019
